fold,scp_cov,scp_wid,crc_cov,crc_wid,ascp_cov,ascp_wid,acrc_cov,acrc_wid,compassl_cov,compassl_wid,compassj_cov,compassj_wid,crcfsl_cov,crcfsl_wid,crcfsj_cov,crcfsj_wid
1,0.875,2.294921875,0.875,2.1704743073151307,0.875,2.3579962590078454,0.825,2.3188131401403345,0.95,2.7217060483932487,0.925,2.644455781447886,0.9,4.541889972352981,0.9,4.157252832925321
2,0.875,2.294921875,0.875,2.1752170394233104,0.95,2.809993926418945,0.95,2.678918102944009,1.0,3.7042236096858985,1.0,3.5545479410171508,0.95,7.158180956768987,0.95,5.635703564739226
3,0.975,2.4763032684326163,0.975,2.3882995249178562,0.925,2.4617550636598318,0.925,2.4283410814032345,0.95,2.9221414300918576,0.975,3.2485265382289867,0.975,5.6162377132892605,0.975,4.954776293706894
4,0.925,2.379654739379876,0.925,2.2995151559617852,0.95,2.608106052220934,0.925,2.4680115156675355,0.825,2.8387610027551657,0.825,2.767619394612312,0.875,4.641451925158501,0.875,4.255465611982345
5,0.9,2.2959071960449364,0.825,2.1041895442584737,0.875,2.5163588090815168,0.875,2.4950225062064333,0.9,3.107321848428248,0.9,3.022082239890099,0.925,5.757861752295495,0.925,4.910853114473819
