Metric,SCP_Coverage,SCP_Width,SCP_Winkler,MSCP_Coverage,MSCP_Width,MSCP_Winkler,CRC_Coverage,CRC_Width,CRC_Winkler,MCRC_Coverage,MCRC_Width,MCRC_Winkler
LV_EDV,93.32% ± 4.86%,3.20,4.56,91.30% ± 6.07%,3.51,4.58,90.45% ± 6.01%,2.49,4.24,91.32% ± 6.10%,3.53,4.58
LV_ESV,93.62% ± 5.21%,2.66,3.39,92.07% ± 5.14%,2.38,2.84,90.47% ± 5.74%,2.06,3.07,92.30% ± 4.92%,2.40,2.84
LV_EF,94.07% ± 5.09%,1.54,1.67,92.02% ± 5.10%,1.48,1.74,90.55% ± 5.30%,1.34,1.63,92.22% ± 4.83%,1.48,1.74
RV_EDV,93.40% ± 4.72%,4.33,5.14,91.48% ± 5.25%,4.59,5.60,90.47% ± 5.55%,3.87,5.02,91.65% ± 5.19%,4.61,5.61
RV_ESV,92.92% ± 5.48%,3.83,4.71,91.47% ± 5.57%,4.11,5.41,89.42% ± 6.75%,3.23,4.55,91.55% ± 5.46%,4.13,5.42
RV_EF,93.60% ± 5.39%,2.24,3.62,91.70% ± 6.02%,3.45,4.90,90.62% ± 6.79%,1.90,3.47,91.78% ± 6.01%,3.46,4.91
Myo_mass,93.72% ± 5.02%,5.10,6.31,91.08% ± 6.48%,4.51,5.75,89.87% ± 5.92%,3.88,5.87,91.10% ± 6.45%,4.54,5.76
